Semester,Campus,CRN,Course,Section #,Capacity,Enrollment,Faculty,Faculty IDs
Fall 2020,Boston,12990,CS 3650,2,49,36,"Cooperman, Gene",147
Fall 2020,Boston,10948,CS 7800,1,35,25,"Nguyen, Huy",544
Fall 2020,Boston,10949,CS 5200,1,48,40,"Durant, Kathleen",195
Fall 2020,Boston,10950,CS 5600,1,87,74,"Desnoyers, Peter",178
Fall 2020,Boston,10951,CS 5800,1,73,51,"Sundaram, Ravi",751
Fall 2020,Online,11992,CS 1200,5,40,40,"Forgash, Jill",237
Fall 2020,Boston,15070,CS 5001,2,70,39,"Bagley, Keith",49
Fall 2020,Online,15071,CS 5002,2,70,80,"Higger, Matt",320
Fall 2020,Online,15072,CS 5003,2,35,27,"Bagley, Keith",49
Fall 2020,Online,15073,CS 5003,3,35,24,"Bagley, Keith",49
Fall 2020,Boston,12018,CS 4100,1,87,85,"Gold, Kevin",275
Fall 2020,Boston,12019,CS 6200,1,44,15,"Amor-Tijani, Ghita",29
Fall 2020,Online,11000,CS 5011,2,40,19,"Freifeld, Clark",241
Fall 2020,Boston,14085,CS 5310,1,11,10,"Annunziato, Jose",34
Fall 2020,Boston,13070,CS 5500,2,47,39,"Wand, Mitchell",824
Fall 2020,"Silicon Valley, CA",17170,CS 5964,1,40,0,"Isaacson, Austin",342
Fall 2020,Online,12052,CS 1200,6,40,38,"Forgash, Jill",237
Fall 2020,Online,12053,CS 2801,3,35,33,"Hemann, Jason, Trypakis, Stavros","318, 782"
Fall 2020,Boston,12054,HINF 5200,1,20,2,"Goodwin, Matthew",278
Fall 2020,Boston,15829,DS 2001,7,16,16,"Cocola, Jorio",140
Fall 2020,Online,11042,CS 5011,3,40,11,"Freifeld, Clark",241
Fall 2020,Boston,16184,DS 3000,1,87,87,"Yildirim, Caglar",873
Fall 2020,Boston,13113,CS 5001,1,66,59,"Bagley, Keith",49
Fall 2020,Boston,13114,CS 5002,1,70,65,"Higger, Matt",320
Fall 2020,Online,11072,CS 2801,2,35,26,"Hemann, Jason, Trypakis, Stavros","318, 782"
Fall 2020,Online,11073,CS 2511,2,46,46,"Razzaq, Leena",620
Fall 2020,Boston,14143,DS 5010,1,34,20,"Yehoshua, Roi",871
